"","BS1","BS2","BS3","BS4","BS5","M1","M2","M3","M4","M5","V1","V2","V3","V4"
"LOC_Os01g02050",13,0,13,6,50,0,0,0,5,0,0,0,0,0
"LOC_Os01g02060",0,0,0,0,0,0,0,0,0,31,0,0,64,0
"LOC_Os01g02070",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g02080",32,16,39,36,0,142,115,30,158,318,24,0,11,74
"LOC_Os01g02090",121,287,164,76,15,361,253,71,173,252,710,502,520,297
"LOC_Os01g02100",1,44,55,85,0,32,19,16,59,0,14,60,115,169
"LOC_Os01g02110",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g02120",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g02130",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g02139",46,63,0,43,80,46,0,7,0,0,276,156,451,204
"LOC_Os01g02150",434,1082,505,573,881,116,97,136,46,193,2984,3018,2612,3252
"LOC_Os01g02160",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g02170",3,70,0,0,0,0,0,8,0,0,104,9,80,103
"LOC_Os01g02180",25,76,183,33,39,50,122,43.555,128,220,137.003,159.985,106.003,111.986
"LOC_Os01g02190",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g02200",139,695,199,36,262,468,252,299,126,542,1386,874,1017,1697
"LOC_Os01g02210",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g02220",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g02230",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g02240",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g02250",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g02260",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g02270",79,0,0,28,17,0,65,39,0,0,0,0,89,0
"LOC_Os01g02280",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g02290",0,0,0,0,0,0,0,0,0,0,0,0,0,29
"LOC_Os01g02300",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g02310",0,0,27,0,0,0,0,0,0,9,0,0,0,0
"LOC_Os01g02320",37,1,0,0,0,0,50,0,30,0,52,80,86,1
"LOC_Os01g02334",18,14,1,0,0,83,0,0,0,0,0,0,0,7
"LOC_Os01g02350",0,69,0,0,11,0,0,0,0,0,11,4,2,0
"LOC_Os01g02360",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g02370",7,0,0,0,0,0,0,0,30,0,92,25,3,151
"LOC_Os01g02380",0,0,0,0,0,0,0,0,0,0,0,9.403,0,0
