"","logFC.BSvsM","FDR.BSvsM","GENEID","logFC.MvsV","FDR.MvsV","logFC.BSvsV","FDR.BSvsV"
"46",-1.52074999704243,6.18081521937488e-09,"LOC_Os11g07020",5.0124761359263,4.39810895512495e-16,3.49172613888387,9.11449176233637e-14
"47",1.78400821938661,7.56856462440983e-09,"LOC_Os03g57790",-2.3059047444725,2.89631486586083e-11,-0.521896525085896,0.0171318508912615
"48",1.65437421564895,9.07682230927875e-09,"LOC_Os07g34589",-3.06311557287881,1.25161558850123e-13,-1.40874135722987,5.98286528433177e-08
"49",2.59805358267053,9.07682230927875e-09,"LOC_Os02g07260",-2.19424522267235,2.65967875578305e-08,0.403808359998187,0.25833721937446
"50",6.06879676289357,9.07682230927875e-09,"LOC_Os05g40960",-9.26855520060421,5.01410437814018e-12,-3.19975843771065,2.19347548387348e-06
"51",2.78833033177161,1.05197008884284e-08,"LOC_Os03g12530",0.369403495569063,0.280519340694839,3.15773382734067,2.29281221715996e-09
"52",-1.7146903528786,1.08810177035047e-08,"LOC_Os07g36080",5.51069054957719,6.8304171944147e-16,3.79600019669859,1.70942660194852e-13
"53",3.71868828441628,1.08810177035047e-08,"LOC_Os08g06550",-6.39843864463215,1.39490210532661e-12,-2.67975036021587,4.21692328308186e-07
"54",3.77629530619296,1.12146653706941e-08,"LOC_Os02g02830",-7.10055262263824,4.88965690196627e-13,-3.32425731644529,2.31977326909697e-08
"55",1.76790008410209,1.12146653706941e-08,"LOC_Os05g47540",0.56880154253659,0.00685468290575541,2.33670162663868,2.05865295390372e-10
"56",2.68490308902217,1.20437911133432e-08,"LOC_Os12g42980",-1.41959417495081,2.74681918445535e-05,1.26530891407136,0.000273391509536939
"57",2.31383912981522,1.21243450977349e-08,"LOC_Os01g05650",-2.37619917625694,2.01288628444637e-09,-0.0623600464417219,0.945854981890771
"58",-1.46397544097137,1.26529539834714e-08,"LOC_Os08g10020",5.01552124063743,4.39810895512495e-16,3.55154579966606,9.11449176233637e-14
"59",3.90670881635605,1.26529539834714e-08,"LOC_Os02g42020",-6.63384151897237,2.01301865068541e-12,-2.72713270261632,6.01939768672013e-07
"60",3.16579113173905,1.28707834046486e-08,"LOC_Os06g12310",-4.57113989526944,1.4576046419651e-11,-1.40534876353038,0.000310901950674179
"61",-1.50205507586821,1.28965155077987e-08,"LOC_Os01g31690",5.40777087915851,4.39810895512495e-16,3.90571580329031,9.11449176233637e-14
"62",-3.01156458255067,1.36047698061027e-08,"LOC_Os03g54130",6.2029930530031,6.66953669821534e-13,3.19142847045242,1.06431347037657e-08
"63",3.8464358301612,1.37621166399959e-08,"LOC_Os02g30110",-2.69027354605435,4.95095514176983e-07,1.15616228410685,0.0129982749799243
"64",-1.60726539064796,1.37621166399959e-08,"LOC_Os08g44680",5.18691596726297,6.8304171944147e-16,3.579650576615,1.92216760270925e-13
"65",4.51988409777761,1.41977186057447e-08,"LOC_Os05g12640",-1.1168825911674,0.0202868628619625,3.40300150661022,7.25578626513945e-07
"66",-2.15315062175169,1.52292263081991e-08,"LOC_Os06g21380",4.31364570108943,4.46480406923765e-13,2.16049507933773,2.00168591527778e-08
"67",9.59639180695867,1.52292263081991e-08,"LOC_Os09g24590",-6.36769713488693,6.14537772652615e-07,3.22869467207174,0.00055518860220601
"68",3.98897226532442,1.52292263081991e-08,"LOC_Os12g33610",-1.61563461668478,0.000455655003054546,2.37333764863964,1.56519553855651e-05
"69",-1.74368207415395,1.58911017795257e-08,"LOC_Os04g33830",5.89824233415677,6.8304171944147e-16,4.15456026000283,1.42161041564121e-13
"70",3.47844244843804,1.71517942397325e-08,"LOC_Os04g56100",-2.70854531609305,1.57620048872088e-07,0.769897132344994,0.0801802820467895
"71",-1.55882510891233,2.66300405057934e-08,"LOC_Os06g21590",5.43286169188798,6.22814868599852e-16,3.87403658297565,1.42161041564121e-13
"72",5.93074881724485,2.94383419876118e-08,"LOC_Os01g57840",-8.64677809720108,4.90182375845442e-11,-2.71602927995623,6.96600638498827e-05
"73",-1.52084642524545,3.09941313685885e-08,"LOC_Os04g38600",4.91799060916025,1.13992486546001e-15,3.3971441839148,3.19612816059782e-13
"74",1.76216710117573,3.37116147399721e-08,"LOC_Os01g59790",-3.65042716514623,1.18947016979571e-13,-1.8882600639705,6.86752144919043e-09
"75",-2.03630645752562,3.59767233671464e-08,"LOC_Os07g13969",5.19312936554001,4.51154371237001e-14,3.15682290801439,9.65515747525895e-11
"76",-1.36052414543011,3.59767233671464e-08,"LOC_Os11g13890",4.86742571235443,4.63630626020137e-16,3.50690156692432,9.11449176233637e-14
"77",-2.50375111364484,3.60292229947232e-08,"LOC_Os01g45274",4.81495786204092,2.83635088143915e-12,2.31120674839609,1.57287294648716e-07
"78",-1.55632792130533,4.85784915661474e-08,"LOC_Os01g56680",4.94977535709695,1.98767931686357e-15,3.39344743579161,7.2941490404866e-13
"79",2.27917662852831,5.04973855815843e-08,"LOC_Os12g43340",-2.80968826490641,5.95941201850562e-10,-0.530511636378092,0.0985316572174044
"80",1.98789460076911,5.04973855815843e-08,"LOC_Os06g05880",-3.56048124154957,1.80886912051123e-12,-1.57258664078046,9.95975314105183e-07
"81",3.23859964526446,5.19839531791105e-08,"LOC_Os03g06520",-3.83060527597587,1.21714902956349e-09,-0.592005630711408,0.201396594649714
"82",1.66979796852276,5.19972668015263e-08,"LOC_Os01g54920",-2.37434760737452,6.10269041766692e-11,-0.704549638851763,0.00252362067740839
"83",3.71668496357665,5.78570495161131e-08,"LOC_Os01g45830",-3.70122651296811,1.49629124560373e-08,0.0154584506085444,0.994103036097296
"84",-1.36104040081633,6.06527489678597e-08,"LOC_Os08g01380",4.49739218324179,1.14720862273129e-15,3.13635178242546,3.34132579102805e-13
"85",2.41156999797302,6.07067616607114e-08,"LOC_Os02g02870",-5.1455826743206,2.76160798464933e-13,-2.73401267634758,5.52729729858967e-09
"86",2.82221035541288,6.39313971047862e-08,"LOC_Os02g52940",-0.363924304335948,0.372837238746832,2.45828605107694,5.92467411719916e-07
"87",-2.19243075186349,6.6371574651982e-08,"LOC_Os04g52260",5.95852870192388,5.30037830748514e-14,3.76609795006039,5.20053805456623e-11
"88",3.24101433669819,6.67943518602612e-08,"LOC_Os06g47640",-6.50274506770329,1.17421808394187e-12,-3.2617307310051,2.49872713042518e-08
"89",1.67309126232128,6.76017312441717e-08,"LOC_Os04g57220",-3.54415071054378,1.83394893813249e-13,-1.87105944822251,8.14685794341352e-09
"90",-1.59265213532108,7.29969729585567e-08,"LOC_Os02g01340",4.85717073089316,5.86715577842026e-15,3.26451859557208,2.68448608812623e-12
"91",-1.60920279170678,7.29969729585567e-08,"LOC_Os01g17170",5.28366912328269,2.44980071352195e-15,3.67446633157591,7.28651450917215e-13
"92",1.87751650551602,7.30732693885583e-08,"LOC_Os04g56160",-3.1948393802716,6.14796096893273e-12,-1.31732287475558,8.13041084340138e-06
"93",4.06313654839356,7.84599172824172e-08,"LOC_Os10g31320",-6.68549109043378,2.6171684857583e-11,-2.62235454204022,8.34713278058126e-06
"94",-1.58436777555663,7.84599172824172e-08,"LOC_Os07g05480",5.50878022513078,1.38016933529402e-15,3.92441244957416,2.90259908674915e-13
