"","GENEID"
"5655","LOC_Os03g54130"
"5674","LOC_Os03g55030"
"5676","LOC_Os03g55090"
"5677","LOC_Os03g55100"
"5704","LOC_Os03g55720"
"5707","LOC_Os03g55776"
"5714","LOC_Os03g55930"
"5726","LOC_Os03g56280"
"5741","LOC_Os03g56670"
"5753","LOC_Os03g56930"
"5766","LOC_Os03g57149"
"5772","LOC_Os03g57220"
"5773","LOC_Os03g57240"
"5807","LOC_Os03g58020"
"5812","LOC_Os03g58080"
"5813","LOC_Os03g58090"
"5821","LOC_Os03g58230"
"5825","LOC_Os03g58290"
"5864","LOC_Os03g59090"
"5873","LOC_Os03g59320"
"5883","LOC_Os03g59580"
"5895","LOC_Os03g59774"
"5931","LOC_Os03g60740"
"5937","LOC_Os03g60820"
"5954","LOC_Os03g61090"
"5961","LOC_Os03g61220"
"5986","LOC_Os03g61890"
"6007","LOC_Os03g62370"
"6016","LOC_Os03g62610"
"6022","LOC_Os03g62670"
"6028","LOC_Os03g62780"
"6046","LOC_Os03g63330"
"6047","LOC_Os03g63360"
"6052","LOC_Os03g63420"
"6087","LOC_Os03g64020"
"6155","LOC_Os04g02910"
"6166","LOC_Os04g05010"
"6188","LOC_Os04g08350"
"6248","LOC_Os04g16680"
"6249","LOC_Os04g16722"
"6250","LOC_Os04g16728"
"6251","LOC_Os04g16732"
"6252","LOC_Os04g16734"
"6253","LOC_Os04g16738"
"6254","LOC_Os04g16740"
"6256","LOC_Os04g16745"
"6257","LOC_Os04g16748"
"6258","LOC_Os04g16760"
"6259","LOC_Os04g16762"
"6261","LOC_Os04g16770"
"6262","LOC_Os04g16775"
"6263","LOC_Os04g16812"
"6265","LOC_Os04g16820"
"6267","LOC_Os04g16830"
"6269","LOC_Os04g16838"
"6270","LOC_Os04g16842"
"6271","LOC_Os04g16866"
"6272","LOC_Os04g16872"
"6273","LOC_Os04g16874"
"6277","LOC_Os04g17100"
"6286","LOC_Os04g18090"
"6291","LOC_Os04g20164"
"6325","LOC_Os04g23040"
"6331","LOC_Os04g23890"
"6338","LOC_Os04g24410"
"6351","LOC_Os04g25440"
"6352","LOC_Os04g25490"
"6354","LOC_Os04g25560"
"6355","LOC_Os04g25570"
"6356","LOC_Os04g25740"
"6399","LOC_Os04g31120"
"6425","LOC_Os04g32050"
"6428","LOC_Os04g32150"
"6439","LOC_Os04g32560"
"6446","LOC_Os04g32850"
"6455","LOC_Os04g33060"
"6459","LOC_Os04g33190"
"6473","LOC_Os04g33490"
"6487","LOC_Os04g33830"
"6492","LOC_Os04g33940"
"6527","LOC_Os04g35180"
"6537","LOC_Os04g35410"
"6560","LOC_Os04g36062"
"6568","LOC_Os04g36720"
"6571","LOC_Os04g36760"
"6586","LOC_Os04g37580"
"6588","LOC_Os04g37619"
"6612","LOC_Os04g38410"
"6619","LOC_Os04g38600"
"6633","LOC_Os04g38914"
"6684","LOC_Os04g40100"
"6698","LOC_Os04g40530"
"6704","LOC_Os04g40670"
"6734","LOC_Os04g41340"
"6744","LOC_Os04g41560"
"6761","LOC_Os04g42020"
"6780","LOC_Os04g42420"
"6788","LOC_Os04g42590"
"6797","LOC_Os04g42800"
"6820","LOC_Os04g43420"
"6834","LOC_Os04g43990"
"6843","LOC_Os04g44340"
"6869","LOC_Os04g44924"
"6871","LOC_Os04g45000"
"6874","LOC_Os04g45070"
"6881","LOC_Os04g45210"
"6888","LOC_Os04g45490"
"6892","LOC_Os04g45600"
"6919","LOC_Os04g46280"
"6926","LOC_Os04g46390"
"6934","LOC_Os04g46610"
"6954","LOC_Os04g47220"
