"","GENEID"
"4083","LOC_Os03g02920"
"4085","LOC_Os03g02970"
"4089","LOC_Os03g03130"
"4092","LOC_Os03g03180"
"4110","LOC_Os03g03510"
"4131","LOC_Os03g03930"
"4162","LOC_Os03g04590"
"4175","LOC_Os03g04970"
"4188","LOC_Os03g05290"
"4193","LOC_Os03g05390"
"4195","LOC_Os03g05420"
"4217","LOC_Os03g05980"
"4226","LOC_Os03g06220"
"4230","LOC_Os03g06330"
"4242","LOC_Os03g06520"
"4245","LOC_Os03g06620"
"4247","LOC_Os03g06680"
"4274","LOC_Os03g07480"
"4288","LOC_Os03g07980"
"4302","LOC_Os03g08220"
"4327","LOC_Os03g08710"
"4331","LOC_Os03g08754"
"4349","LOC_Os03g09140"
"4354","LOC_Os03g09250"
"4364","LOC_Os03g09900"
"4367","LOC_Os03g09940"
"4369","LOC_Os03g10040"
"4374","LOC_Os03g10090"
"4385","LOC_Os03g10340"
"4426","LOC_Os03g11220"
"4462","LOC_Os03g11970"
"4489","LOC_Os03g12510"
"4491","LOC_Os03g12530"
"4499","LOC_Os03g12670"
"4504","LOC_Os03g12790"
"4519","LOC_Os03g13170"
"4546","LOC_Os03g13840"
"4549","LOC_Os03g13870"
"4550","LOC_Os03g13930"
"4551","LOC_Os03g13950"
"4573","LOC_Os03g14530"
"4575","LOC_Os03g14570"
"4586","LOC_Os03g14880"
"4599","LOC_Os03g15050"
"4602","LOC_Os03g15230"
"4604","LOC_Os03g15340"
"4608","LOC_Os03g15410"
"4611","LOC_Os03g15480"
"4612","LOC_Os03g15530"
"4648","LOC_Os03g16090"
"4678","LOC_Os03g16860"
"4686","LOC_Os03g17020"
"4720","LOC_Os03g17690"
"4745","LOC_Os03g18180"
"4760","LOC_Os03g18510"
"4764","LOC_Os03g18570"
"4767","LOC_Os03g18620"
"4773","LOC_Os03g18770"
"4788","LOC_Os03g19200"
"4789","LOC_Os03g19220"
"4844","LOC_Os03g20500"
"4848","LOC_Os03g20630"
"4859","LOC_Os03g20900"
"4864","LOC_Os03g21040"
"4889","LOC_Os03g21590"
"4932","LOC_Os03g22460"
"4933","LOC_Os03g22490"
"4938","LOC_Os03g22634"
"4972","LOC_Os03g24220"
"5012","LOC_Os03g25940"
"5038","LOC_Os03g27120"
"5039","LOC_Os03g27190"
"5043","LOC_Os03g27260"
"5051","LOC_Os03g27390"
"5079","LOC_Os03g29460"
"5084","LOC_Os03g29740"
"5099","LOC_Os03g30420"
"5100","LOC_Os03g30430"
"5131","LOC_Os03g31679"
"5132","LOC_Os03g31690"
"5140","LOC_Os03g32314"
"5143","LOC_Os03g32580"
"5174","LOC_Os03g37411"
"5175","LOC_Os03g37470"
"5176","LOC_Os03g37490"
"5187","LOC_Os03g37960"
"5192","LOC_Os03g38050"
"5205","LOC_Os03g38740"
"5234","LOC_Os03g40180"
"5236","LOC_Os03g40270"
